layer at (0,0) size 800x600 clip at (0,0) size 785x600 scrollHeight 877
  LayoutView at (0,0) size 800x600
layer at (0,0) size 785x877 backgroundClip at (0,0) size 785x600 clip at (0,0) size 785x600
  LayoutBlockFlow {HTML} at (0,0) size 785x877
    LayoutBlockFlow {BODY} at (8,8) size 769x861 [bgcolor=#CCCCCC]
      LayoutBlockFlow {P} at (0,0) size 769x18
        LayoutText {#text} at (0,0) size 363x18
          text run at (0,0) width 363: "The style declarations which apply to the text below are:"
      LayoutBlockFlow {PRE} at (0,34) size 769x90
        LayoutText {#text} at (0,0) size 453x90
          text run at (0,0) width 445: ".zero {background-color: silver; border-bottom-width: 0;}"
          text run at (444,0) width 1: " "
          text run at (0,15) width 422: ".one {border-bottom-width: 50px; border-style: solid;}"
          text run at (421,15) width 1: " "
          text run at (0,30) width 430: ".two {border-bottom-width: thick; border-style: solid;}"
          text run at (429,30) width 1: " "
          text run at (0,45) width 453: ".three {border-bottom-width: medium; border-style: solid;}"
          text run at (452,45) width 1: " "
          text run at (0,60) width 430: ".four {border-bottom-width: thin; border-style: solid;}"
          text run at (429,60) width 1: " "
          text run at (0,75) width 266: ".five {border-bottom-width: 25px;}"
          text run at (265,75) width 1: " "
      LayoutBlockFlow {P} at (0,155) size 769x18
        LayoutText {#text} at (0,0) size 160x18
          text run at (0,0) width 160: "(These will only work if "
        LayoutInline {CODE} at (0,0) size 95x15
          LayoutText {#text} at (159,2) size 95x15
            text run at (159,2) width 95: "border-style"
        LayoutText {#text} at (253,0) size 92x18
          text run at (253,0) width 92: " is supported.)"
      LayoutBlockFlow {P} at (0,189) size 769x18 [bgcolor=#C0C0C0]
        LayoutText {#text} at (0,0) size 208x18
          text run at (0,0) width 208: "This element has a class of zero."
      LayoutBlockFlow {P} at (0,223) size 769x71 [border: (3px solid #000000) (50px solid #000000) (3px solid #000000)]
        LayoutText {#text} at (3,3) size 395x18
          text run at (3,3) width 395: "This element should have a bottom border width of 50 pixels."
      LayoutBlockFlow {P} at (0,310) size 769x26 [border: (3px solid #000000) (5px solid #000000) (3px solid #000000)]
        LayoutText {#text} at (3,3) size 351x18
          text run at (3,3) width 351: "This element should have a thick bottom border width."
      LayoutBlockFlow {P} at (0,352) size 769x24 [border: (3px solid #000000)]
        LayoutText {#text} at (3,3) size 372x18
          text run at (3,3) width 372: "This element should have a medium bottom border width."
      LayoutBlockFlow {P} at (0,392) size 769x22 [border: (3px solid #000000) (1px solid #000000) (3px solid #000000)]
        LayoutText {#text} at (3,3) size 344x18
          text run at (3,3) width 344: "This element should have a thin bottom border width."
      LayoutBlockFlow {P} at (0,430) size 769x18
        LayoutText {#text} at (0,0) size 545x18
          text run at (0,0) width 545: "This element should have no border and no extra \"padding\" on its bottom side, as no "
        LayoutInline {CODE} at (0,0) size 95x15
          LayoutText {#text} at (544,2) size 95x15
            text run at (544,2) width 95: "border-style"
        LayoutText {#text} at (638,0) size 56x18
          text run at (638,0) width 56: " was set."
      LayoutBlockFlow {P} at (0,464) size 769x18 [bgcolor=#C0C0C0]
        LayoutText {#text} at (0,0) size 208x18
          text run at (0,0) width 208: "This element has a class of zero."
      LayoutTable {TABLE} at (0,498) size 716x363 [border: (1px outset #808080)]
        LayoutTableSection {TBODY} at (1,1) size 714x361
          LayoutTableRow {TR} at (0,0) size 714x26
            LayoutTableCell {TD} at (0,0) size 714x26 [bgcolor=#C0C0C0] [border: (1px inset #808080)] [r=0 c=0 rs=1 cs=2]
              LayoutInline {STRONG} at (0,0) size 161x18
                LayoutText {#text} at (4,4) size 161x18
                  text run at (4,4) width 161: "TABLE Testing Section"
          LayoutTableRow {TR} at (0,26) size 714x335
            LayoutTableCell {TD} at (0,180) size 12x26 [bgcolor=#C0C0C0] [border: (1px inset #808080)] [r=1 c=0 rs=1 cs=1]
              LayoutText {#text} at (4,4) size 4x18
                text run at (4,4) width 4: " "
            LayoutTableCell {TD} at (12,26) size 702x335 [border: (1px inset #808080)] [r=1 c=1 rs=1 cs=1]
              LayoutBlockFlow {P} at (4,4) size 694x18
                LayoutText {#text} at (0,0) size 160x18
                  text run at (0,0) width 160: "(These will only work if "
                LayoutInline {CODE} at (0,0) size 95x15
                  LayoutText {#text} at (159,2) size 95x15
                    text run at (159,2) width 95: "border-style"
                LayoutText {#text} at (253,0) size 92x18
                  text run at (253,0) width 92: " is supported.)"
              LayoutBlockFlow {P} at (4,38) size 694x18 [bgcolor=#C0C0C0]
                LayoutText {#text} at (0,0) size 208x18
                  text run at (0,0) width 208: "This element has a class of zero."
